periodo;fecha_ticket;der;tipo_de_registro;clasificacion_excel;descripcion_caso
2026-01-01;2026-01-01;9570754;Consulta;No aplica / condiciones;Cliente reclama reintegro no acreditado, se verifica que llego al tope de la promoción.
2026-01-01;2026-01-01;9570873;Consulta;Reclamo / revision;Se le comenta a cliente que reclama por reintegro de petrobras que el caso ya esta escalado, se le brinda numero de caso.
2026-01-01;2026-01-01;9570932;Consulta;No aplica / condiciones;Cliente consulta por reintegros pendientes de Petromax y Petropar, se verifica que las compras fueron procesadas con el pos de Dinelco, se realiza llamada sin éxito.
2026-01-01;2026-01-01;9570954;Consulta;No aplica / condiciones;Cliente reclama reintegro por promoción en pretropar, se verifica que ya alcanzo su tope semanal. Se intenta contacto vía llamada, manda a buzón, se deja buzón.
2026-01-01;2026-01-01;9571156;Consulta;No aplica / condiciones;Cliente consulta por reintegro de Petropar, se le informa ya alcanzó tope de compra y máximo de reintegro segpun su nivel y se le brinda detalles, cliente agradece.
2026-01-01;2026-01-01;9571167;Consulta;Reclamo / revision;Cliente se acerca al ROT consultando sobre una casuística donde el comercio no cuente con el pos para poder acceder a un reintegro, se le indica que reclamos corresponden y como podríamos proceder.
2026-01-01;2026-01-01;9572116;Consulta;No aplica / condiciones;Cliente consulta por el estado del caso, se le comenta que está en proceso, también consulta por reintegro de tiendas del 20/12 que no recibió, se verifica que a la misma no cumplió con la compra mínima.
2026-01-01;2026-01-01;9572558;Consulta;No aplica / condiciones;Cliente consulta por su reintegro de compra en farmacenter se le indica que no corresponde, luego pide el contacto de uela, se le facilita.
2026-01-01;2026-01-01;9572571;Consulta;No aplica / condiciones;"cliente solicita información de  promoción de 20% de reintegro de CIT; el mismo tenia pensado que es descuento pagando la cuota social y le aclare que mas bien es reintegro del 20%. indique monto de compra y tope de reintegro"
2026-01-01;2026-01-01;9573153;Consulta;No aplica / condiciones;El cliente se comunica indicando que realizó una carga en Petropar y que solo recibió un reintegro de Gs. 55.000, el cual no corresponde según lo indicado por el. al 50 % de reintegro que le corresponde por su nivel. Se le informa que ya alcanzó el límite de reintegro semanal. Ante la duda del cliente, se le indica que le vamos a remitir al correo las bases y condiciones vigentes del mes para mayor aclaración. El cliente agradece la información y se despide.
2026-01-01;2026-01-01;9573183;Consulta;No aplica / condiciones;Cliente consulta sobre 2 reintegros en supermercados, se verifican que ambas compras no habrían alcanzado el monto mínimo de Gs. 300.000 para la promoción de supermercados y se le menciona al cliente, cliente comprende.
2026-01-01;2026-01-01;9573367;Consulta;Seguimiento interno;"Cliente se acerca al CE EXPO para reclamar que no le sumaron sus 1500 upys por el préstamo que se le aprobó en octubre/2025 solicitado en 8 cuotas, de las cuales ya abono 2 a la fecha. El monto solicitado fue mas de 5 millones para acceder a los UPYS por préstamo personal menor a Gs. 20.000.000.
Adjunto imagen compartida por el cliente donde se visualiza en su app que no fueron aplicados los UPYS.
Agradeceré me den una mano con la verificación."
2026-01-01;2026-01-01;9573558;Consulta;No aplica / condiciones;Cliente reclama reintegro en compra. No corresponde según ByC (No adherido).
2026-01-01;2026-01-01;9573895;Consulta;No aplica / condiciones;Cte reclama sobre reintegro no aplicado, se informa sobre que abono se realizo por medio incorrecto y se asesora sobre esto, comprende y agradece
2026-01-01;2026-01-01;9573925;Consulta;Seguimiento interno;Cliente nos contacta por su caso de reintegros, se verifica que el caso sigue en espera, se pide prioridad.
2026-01-01;2026-01-01;9574297;Consulta;No aplica / condiciones;"El cliente reporta que se acercó al comercio mencionado para aprovechar la promoción de reintegro.
Al momento de abonar, el local manifestó no contar con la terminal de UPAY, por lo que el cliente se vio obligado a realizar el pago a través de la red Infonet.
Se informa al cliente que, según las Bases y Condiciones (B&C), el reintegro no es aplicable de forma automática al no haberse utilizado el POS correspondiente.
Se procede a derivar el caso vía correo electrónico al área de Alianzas/Comercios para: Verificar la falta de terminal en dicha sucursal y evitar futuras incidencias."
2026-01-01;2026-01-02;9574939;Consulta;Reclamo / revision;"El cliente consultó sobre las bases y condiciones de las promociones vigentes para el mes de enero, solicitando específicamente el acceso a un archivo en formato PDF; tras verificar la disponibilidad del documento, se procedió a remitírselo por correo electrónico para su revisión detallada."
2026-01-01;2026-01-02;9575807;Consulta;No aplica / condiciones;Cliente se contacta consultando sobre su caso de reintegro que se habría solicitado, en este caos verificamos el caso original y los compañeros verificaron que no aplicaría por el medio de pos utilizado para realizar la transacción, ya que dichos reintegros solo aplican para la red upay y en este caso se confirma que seria de la red infonet
2026-01-01;2026-01-02;9575868;Consulta;Reclamo / revision;"El cliente reportó que no logra visualizar las bases y condiciones de las promociones ""Kingo y el Ahorrazo"" dentro de su aplicación; tras realizar una búsqueda conjunta sin éxito, se procedió a remitirle ambos documentos por correo electrónico para su revisión. El usuario agradeció la gestión y se despidió."
2026-01-01;2026-01-02;9575881;Consulta;No aplica / condiciones;Cliente en referencia se contacta indicando que le cobraron dos veces en una estación de servicio aliada a ueno reintegros, se verifica en CW que el segundo cobro se encuentra en estado. APROBADA NO, por lo que transcurridas las 72hs hábiles se estaría reversando el monto a la cuenta, y reclama que no recibió el reintegro del 50% correspondiente a su nivel, se verifica y el cliente llego a su tope de reintegro semanal correspondiente a la promoción en vigencia.
2026-01-01;2026-01-02;9576053;Consulta;Reclamo / revision;Se le indica a cliente que deben pasar 7 días hábiles para poder realizar el reclamo.
2026-01-01;2026-01-02;9576390;Consulta;Seguimiento interno;"Adjunto imagen de compra realizada en farmacenter cuyo reintegro no recibi.
No he alcanzado el limite de compra.
Gracias"
2026-01-01;2026-01-02;9577378;Consulta;No aplica / condiciones;Cliente comenta por 2 compras que realizo el porque no se le reintegro, se verifica que uno no corresponde, se le indica y el otro se le indica que aguarde
2026-01-01;2026-01-02;9577401;Consulta;No aplica / condiciones;"Cliente consulta si el supermercado ARETE ya no formara parte de la promoción de reintegro ""bolsa supermercados""
Se verifican B&C de enero y validamos que ARETE ya no se encuentra adherido.
Se informa y comprende, agradece atención."
2026-01-01;2026-01-02;9577894;Consulta;Solo nro. caso;09502342
2026-01-01;2026-01-02;9577902;Consulta;No aplica / condiciones;Cliente se comunica consultando por su caso de reintegro, se le menciona que no corresponde ya que el pago fue procesado con un Pos no adherido a la promo.
2026-01-01;2026-01-02;9579915;Consulta;Reclamo / revision;cliente consulta sobre un reintegro en farmacenter el dia 31/12, le cobraron con infonet y ella le dijo bien que le cobre con upay pero igual le cobro con infonet diciendole que igual tendria rentegro, se le indica que no tendra y reclamara con la farmacia
2026-01-01;2026-01-02;9580069;Consulta;Reclamo / revision;Titular se contacta para Reclamar publicidad desfasada y su reintegro en fecha 02/01/2026 la cual la cadena real ya no se encuentra en las ByC de la promoción, se envia correo al area de alianzas para su verificacion
2026-01-01;2026-01-02;9580136;Consulta;No aplica / condiciones;Cliente consulta por reintegro en combustibles con petropar. Se indica el reintegro es del 20% y el tope de reintegro en la semana es de 10.000 con máximo en el mes de hasta 40.000gs
2026-01-01;2026-01-02;9580850;Consulta;No aplica / condiciones;"Cliente consulta  por reintegro  
se le indica que no corresponde debido a que no llego a la compra mínima  de la promo"
